"Modellreihe","year","total_new_registrations"
"VW Tiguan",2010,38687
"BMW X1",2010,26634
"Audi Q5",2010,23148
"Ford Kuga",2010,14056
"Škoda Yeti",2010,13817
"Mercedes-Benz GLK",2010,12588
