"Modellreihe","year","total_new_registrations"
"Mercedes-Benz E-Klasse Coupé",2010,13298
"BMW Z4",2010,6178
"Porsche 911",2010,5778
"Audi TT",2010,5385
"Mercedes-Benz SLK",2010,4342
"Porsche Boxster, Cayman",2010,2135
