"Modellreihe","year","total_new_registrations"
"VW Polo",2010,96945
"Opel Corsa",2010,65304
"Ford Fiesta",2010,51598
"Škoda Fabia",2010,48609
"Mini 6",2010,31477
"Peugeot 207",2010,23994
