"Modellreihe","year","total_new_registrations"
"Mercedes-Benz E-Klasse",2010,54111
"BMW 5er",2010,46014
"Audi A6, S6, RS6",2010,30079
"Volvo S70, V70, XC70, C70 5",2010,5134
"Jaguar XF",2010,2003
"Chrysler 300C",2010,710
