Schlüssel,Straftat,Gemeinde-schlüssel,Stadt-/Landkreis,Kreisart,erfasste Fälle,HZ nach Zensus,Unique Ids
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08337,Waldshut,LK,19,"11,1634684308864","Waldshut, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08415,Reutlingen,LK,37,"12,9482002001722","Reutlingen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08416,Tübingen,LK,24,"10,6309937764391","Tübingen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08417,Zollernalbkreis,LK,27,"14,3487272147526","Zollernalbkreis, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08421,Ulm,SK,9,"7,16583330679321","Ulm, SK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08425,Alb-Donau-Kreis,LK,27,"13,8725472565753","Alb-Donau-Kreis, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08426,Biberach,LK,11,"5,54813002799284","Biberach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08435,Bodenseekreis,LK,28,"13,0441871840861","Bodenseekreis, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08436,Ravensburg,LK,25,"8,82568910980569","Ravensburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,08437,Sigmaringen,LK,20,"15,3619270001229","Sigmaringen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09161,Ingolstadt,KfS,25,"18,4851083966756","Ingolstadt, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09162,München,KfS,192,"13,1864599780638","München, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09163,Rosenheim,KfS,8,"12,6823081800888","Rosenheim, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09171,Altötting,LK,18,"16,313509398394","Altötting, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09172,Berchtesgadener Land,LK,14,"13,3267334272551","Berchtesgadener Land, LK"
