"Modellreihe","year","total_new_registrations"
"Smart Fortwo",2010,29065
"Fiat Panda",2010,23638
"Renault Twingo",2010,19648
"Fiat 500",2010,17707
"Hyundai i10",2010,16703
"Ford Ka",2010,14556
