"Modellreihe","year","total_new_registrations"
"Mercedes-Benz C-Klasse",2010,71871
"BMW 3er",2010,67643
"VW Passat",2010,66496
"Audi A4, S4, RS4",2010,59863
"Opel Insignia",2010,28208
"Audi A5, S5",2010,23415
