"Modellreihe","year","total_new_registrations"
"Fiat Ducato",2010,10883
"Ford Transit, Tourneo",2010,3041
"VW Transporter, Caravelle",2010,1718
"Iveco Daily",2010,585
"Mercedes-Benz Sprinter",2010,506
"Citroën Jumper",2010,464
