"Modellreihe","year","total_new_registrations"
"VW Golf, Bora, Jetta",2010,251078
"Opel Astra",2010,72685
"Audi A3, S3, RS3",2010,63466
"BMW 1er",2010,55353
"Ford Focus",2010,53719
"Mercedes-Benz A-Klasse",2010,51579
