"Modellreihe","year","total_new_registrations"
"VW Transporter, Caravelle",2010,34973
"VW Caddy",2010,30005
"Citroën Berlingo 1",2010,11824
"Renault Kangoo 1",2010,6853
"Ford Transit, Tourneo",2010,6807
"Mercedes-Benz Vito",2010,5221
