,kilometers,model_group,model_name,offer_id,price,text,url,zip_code
23,180.000 km,kleinwagen,VW-Polo,26,1.590 € ,Auto ist in einem sehr gepflegten Zustand. KEIN ROST oder Sichtbare Schäden. Kleine Kratzer die man...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70439
24,2002,kleinwagen,VW-Polo,27,10.659 € ,Vorab. Im dritten Bild sind es keine Kratzer sondern SpiegelungenFahrzeug wird zum 31.07.2019...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70180
25,10.200 km,kleinwagen,VW-Polo,28,999 €,Das Fahrzeug wurde ausgebessert und komplett entrostet Lack ist nicht mehr der beste aber das...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70435
26,2017,kleinwagen,VW-Polo,29,250 €,"Neue VLand voll LED Rückleuchten mit E Zeichen für den Polo 6R, 6C.---Versandfrei---In Rot oder...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70191
27,170.740 km,kleinwagen,VW-Polo,30,15 € ,Schwarzes linkes Außenspiegel Gehäuse in magic Black und Innenleben. Lackcode: LC9ZDer Spiegel...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70178
28,1999,kleinwagen,VW-Polo,31,1.000 € ,"VW Polo kupplung neu gewechselt guter Zustand, Fahrbereit. Baujahr 2002.Klima funktioniert nicht...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70378
29,2002,kleinwagen,VW-Polo,33,850 € ,Ich biete einen sehr gut erhaltenen VW Polo 6R mit einer sehr guten Ausstattung an. Ausserdem ist...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70327
30,127.000 km,kleinwagen,VW-Polo,34,550 € ,"Das auto ist gepflegt und sauber1,4 liter Motor, vorne el Fenster, Nichtraucher,8 fach Bereifung...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70327
31,2012,kleinwagen,VW-Polo,35,100 € ,"Hallo hier eine scheune fund polo mit neuem tuf, 8fach Bereifung, nur leichte optische Mängel...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70569
32,149.500 km,kleinwagen,VW-Polo,36,10 €,Zum Verkauf steht ein gebrauchter Motor AEV VW Polo 6N11043 CCM 33 KW EZ 1996Schlüssel-Nr. 0600...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70569
33,1999,kleinwagen,VW-Polo,37,20 €,Zum Verkauf stehen diverse Schalter:Der Preis gilt jeweils für 1 SchalterFord GalaxyVW BoraVW...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:2/VW-Polo/k0l9280,70569
34,170.000 km,kleinwagen,VW-Polo,39,40 € ,"Verkaufe VW Türgriffe geeignet für VW Polo 6n, Golf 3 und 4, Bora etc.",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70437
35,2002,kleinwagen,VW-Polo,40,100 € ,Verkaufe ein el. Schiebedach inkl. Motor und Bedienungseinheit aus einem VW Polo 6n2...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70437
36,93.000 km,kleinwagen,Opel-Corsa,41,15 €,Verkaufe neue Scheibenbremsbeläge für die Hinterachse in Erstausrüsterqualitä​t vonQuinton Hazell...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70569
37,1991,kleinwagen,Opel-Corsa,42,2.299 € ,Gepflegtes Nichtraucher Fahrzeug wg. Neuanschaffung ab sofort abzugeben.Die Karosserie ist in...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70184
38,225.000 km,kleinwagen,Opel-Corsa,43,450 € ,"UPDATE: das Auto wird ab Sonntag, 7.7.2019 in der Nähe von Stuttgart sein!Bei ernsthaftem...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70173
39,2005,kleinwagen,Opel-Corsa,44,410 € ,"Neue VLand Xenon Scheinwerfer mit E Zeichen für den Polo 6R, 6C.---Versandfrei----Bi-Xenon...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70191
40,80.000 km,kleinwagen,Opel-Corsa,45,1.000 € ,"Kein TÜV,Rechter Seitenspiegel muss erneuert werden und Scheibenwischermotor​ muss erneuert werden.",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70327
41,2012,kleinwagen,Opel-Corsa,46,20 €,"Teile sind neu, bei Fragen und Interesse gerne eine Nachricht schreiben",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:3/VW-Polo/k0l9280,70599
42,0 km,kleinwagen,Opel-Corsa,58,38 €,"Original Wagenheber VW / Audi ""431011031A&quo​t;, u.A. für AUDI 80 90 100 VW Golf Jetta...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:4/VW-Polo/k0l9280,70374
43,1990,kleinwagen,Opel-Corsa,59,8 €,"Original VW Bordmappe (NEU) (z.B. Polo, Golf usw.)Ohne Inhalt!",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:4/VW-Polo/k0l9280,70174
44,0 km,kleinwagen,Opel-Corsa,77,38 €,"Original Wagenheber VW / Audi ""431011031A&quo​t;, u.A. für AUDI 80 90 100 VW Golf Jetta...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:5/VW-Polo/k0l9280,70374
45,1990,kleinwagen,Opel-Corsa,78,8 €,"Original VW Bordmappe (NEU) (z.B. Polo, Golf usw.)Ohne Inhalt!",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:5/VW-Polo/k0l9280,70174
46,139.500 km,kleinwagen,Ford-Fiesta,96,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7747
47,2002,kleinwagen,Ford-Fiesta,97,1.000 € ,Das Auto ist läuft gut Motor Getriebe alles okay Kein TÜF keine Rost.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7743
48,78.515 km,kleinwagen,Ford-Fiesta,98,399 €,Verkaufe generalüberholtes Getriebe FQE !Bei dem Getriebe handelt es sich um ein manuelles 5...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7743
49,1994,kleinwagen,Ford-Fiesta,99,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7747
50,139.500 km,kleinwagen,Ford-Fiesta,100,449 €,Verkaufe generalüberholtes Getriebe LVE !Bei dem Getriebe handelt es sich um ein manuelles 5 -...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7743
51,2002,kleinwagen,Ford-Fiesta,101,79 € ,"Verkaufe Dachträger Atera für VW Polo 9N, von 6/2009 bis 9/2017.Wichtig: Für 5...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:1/VW-Polo/k0l3770,7745
52,139.500 km,kleinwagen,Ford-Fiesta,115,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7747
53,2002,kleinwagen,Ford-Fiesta,116,1.000 € ,Das Auto ist läuft gut Motor Getriebe alles okay Kein TÜF keine Rost.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7743
54,78.515 km,kleinwagen,Ford-Fiesta,117,399 €,Verkaufe generalüberholtes Getriebe FQE !Bei dem Getriebe handelt es sich um ein manuelles 5...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7743
55,1994,kleinwagen,Ford-Fiesta,118,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7747
56,139.500 km,kleinwagen,Ford-Fiesta,119,449 €,Verkaufe generalüberholtes Getriebe LVE !Bei dem Getriebe handelt es sich um ein manuelles 5 -...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7743
57,2002,kleinwagen,Ford-Fiesta,120,79 € ,"Verkaufe Dachträger Atera für VW Polo 9N, von 6/2009 bis 9/2017.Wichtig: Für 5...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:2/VW-Polo/k0l3770,7745
58,139.500 km,kleinwagen,Mini-6,134,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7747
