"Modellreihe MP","year","total_new_registrations"
"Mercedes-Benz S-Klasse",2010,5177
"BMW 7er",2010,5074
"Audi A8, S8",2010,4752
"Porsche Panamera",2010,2674
"VW Phaeton",2010,1628
"Mercedes-Benz CLS",2010,1282
